"ring","year","site","box","age","sex","wing","tarsus","mass","date","time","ringer","season","history","notes","catching","X"
"Z632906",2015,"ALN",3,6,"F",59,NA,10.63,161,"13:45","IBC","spring",0,NA,NA,NA
"Z632905",2015,"ALN",3,6,"M",66,NA,10.61,161,"13:45","IBC","spring",0,NA,NA,NA
"Z632133",2015,"ALN",4,6,"F",62,NA,10.19,151,NA,"JDS","spring",0,NA,NA,NA
"Z632134",2015,"ALN",4,6,"M",68,NA,11.88,151,NA,"JDS","spring",0,NA,NA,NA
"Z632769",2015,"ALN",5,5,"F",63,NA,11.43,157,"16:00","JDS","spring",0,NA,NA,NA
"Z632770",2015,"ALN",5,5,"M",65,NA,10.53,157,"16:00","JDS","spring",0,"replacement moulting left wing feathers (in field obs)",NA,NA
"Z632133",2016,"ALN",2,6,"F",63,NA,10.28,140,"15:30","JDS","spring",1,"ALN4 6F last year",NA,NA
"Z632838",2016,"ALN",5,6,"F",64,NA,10.72,148,"16:30","JDS","spring",0,NA,NA,NA
"Z632855",2016,"ALN",6,6,"F",60,NA,10.19,156,"14:10","IBC","spring",0,NA,NA,NA
"Z632856",2016,"ALN",6,6,"M",65,NA,10.51,156,"14:10","IBC","spring",0,NA,NA,NA
"S921329",2017,"ALN",4,6,"F",62,NA,10.12,155,"18:00","TB","spring",0,NA,NA,NA
"Z632770",2017,"ALN",4,6,"M",65,NA,10.44,158,"11:00","TB","spring",1,NA,NA,NA
"S921574",2017,"ALN",6,6,"F",62,NA,10.7,159,"15:38","KM","spring",0,NA,NA,NA
"S921575",2017,"ALN",6,5,"M",65,NA,10.34,159,"15:38","KM","spring",0,NA,NA,NA
"S228402",2017,"ALN",8,5,"M",62,NA,9.46,155,"17:35","KK","spring",1,"recruit from ALN in 2016  - but marked as dead!",NA,NA
"S921329",2018,"ALN",2,6,"F",61,NA,10.43,155,"15:39","DAP","spring",1,"ALN4 in 2017",NA,NA
"Z632770",2018,"ALN",2,6,"M",67,NA,10.68,150,"12:10","DAP","spring",1,NA,NA,NA
"S921652",2018,"ALN",4,4,"F",59,NA,9.32,145,"17:05","KM","spring",0,NA,NA,NA
"S921653",2018,"ALN",4,5,"M",65,NA,10.52,145,"17:45","KM","spring",0,NA,NA,NA
"AHD7969",2018,"ALN",5,6,"F",62,NA,11.29,161,"17:43","KM","spring",0,NA,NA,NA
"AHD7968",2018,"ALN",5,5,"M",65,NA,10.54,161,"17:43","KM","spring",0,NA,NA,NA
"AHD7967",2018,"ALN",6,5,"F",61,NA,10.64,161,"17:35","KM","spring",0,NA,NA,NA
