"ring","year","site","sex","Difsite","survival","site_recode","Lrecapture","time_SLC"
"AHD7001",2018,"ART","F",0,0,"ART",0,0
"AHD7002",2018,"ART","M",0,0,"ART",0,0
"AHD7003",2018,"ART","M",0,0,"ART",0,0
"AHD7016",2018,"TAI","F",0,0,"TAI",0,0
"AHD7017",2018,"OSP","F",0,1,"OSP",0,0
"AHD7017",2019,"OSP","F",0,0,"OSP",0,1
"AHD7018",2018,"OSP","M",0,1,"OSP",0,0
"AHD7018",2019,"OSP","M",0,0,"OSP",0,1
"AHD7028",2018,"DEL","F",0,0,"DEL",0,0
"AHD7029",2018,"DEL","F",0,0,"DEL",0,0
"AHD7030",2018,"DEL","M",0,1,"DEL",0,0
"AHD7030",2019,"DEL","M",0,1,"DEL",0,1
"AHD7030",2020,"DEL","M",0,0,"DEL",0,1
"AHD7038",2018,"FSH","M",0,0,"FSH",0,0
"AHD7056",2018,"STY","F",0,1,"STY",0,0
"AHD7056",2019,"STY","F",0,1,"STY",0,1
"AHD7056",2021,"STY","F",0,1,"STY",1,2
"AHD7056",2022,"STY","F",0,0,"STY",0,1
"AHD7068",2018,"DOW","M",0,1,"DOW",0,0
"AHD7068",2019,"DOW","M",0,1,"DOW",0,1
"AHD7068",2020,"DOW","M",0,1,"DOW",0,1
"AHD7068",2021,"DOW","M",0,1,"DOW",0,1
"AHD7068",2022,"DOW","M",0,1,"DOW",0,1
"AHD7068",2023,"DOW","M",0,0,"DOW",0,1
"AHD7069",2018,"DOW","F",0,1,"DOW",0,0
"AHD7069",2019,"DOW","F",0,1,"DOW",0,1
"AHD7069",2020,"DOW","F",0,1,"DOW",0,1
"AHD7069",2021,"DOW","F",0,1,"DOW",0,1
"AHD7069",2022,"DOW","F",0,0,"DOW",0,1
"AHD7084",2018,"HWP","F",0,0,"HWP",0,0
"AHD7085",2018,"AVI","F",0,1,"AVI",0,0
"AHD7085",2019,"AVI","F",0,1,"AVI",0,1
"AHD7085",2020,"AVI","F",0,0,"AVI",0,1
"AHD7086",2018,"AVI","M",0,1,"AVI",0,0
"AHD7086",2019,"AVI","M",0,0,"AVI",0,1
"AHD7094",2018,"ART","F",0,0,"ART",0,0
"AHD7095",2018,"SPD","M",0,1,"SPD",0,0
"AHD7095",2019,"SPD","M",0,0,"SPD",0,1
"AHD7096",2018,"SPD","F",0,0,"SPD",0,0
"AHD7097",2018,"SPD","M",0,0,"SPD",0,0
"AHD7098",2018,"CAR","M",0,0,"CAR",0,0
"AHD7099",2018,"CAR","F",0,1,"CAR",0,0
"AHD7099",2020,"CAR","F",0,0,"CAR",1,2
"AHD7103",2018,"HWP","M",0,0,"HWP",0,0
"AHD7120",2018,"AVN","F",0,0,"AVN",0,0
"AHD7121",2018,"ART","F",0,0,"ART",0,0
"AHD7122",2018,"ART","M",0,0,"ART",0,0
"AHD7131",2018,"ART","F",0,0,"ART",0,0
"AHD7132",2018,"ART","M",0,0,"ART",0,0
"AHD7134",2018,"MUN","F",0,0,"MUN",0,0
"AHD7135",2018,"MUN","M",0,1,"MUN",0,0
"AHD7135",2019,"MUN","M",0,0,"MUN",0,1
"AHD7165",2018,"FSH","M",0,0,"FSH",0,0
"AHD7166",2018,"FSH","F",0,0,"FSH",0,0
"AHD7180",2018,"DEL","M",0,0,"DEL",0,0
"AHD7181",2018,"DEL","F",0,0,"DEL",0,0
"AHD7246",2018,"MCH","M",0,0,"MCH",0,0
"AHD7247",2018,"MCH","F",0,0,"MCH",0,0
"AHD7248",2018,"MCH","M",0,1,"MCH",0,0
"AHD7248",2019,"MCH","M",0,0,"MCH",0,1
"AHD7249",2018,"PTH","M",0,1,"PTH",0,0
"AHD7249",2019,"PTH","M",0,1,"PTH",0,1
"AHD7249",2020,"PTH","M",0,0,"PTH",0,1
"AHD7250",2018,"PTH","F",0,0,"PTH",0,0
"AHD7251",2018,"BIR","M",0,0,"BIR",0,0
"AHD7252",2018,"DNM","M",0,0,"DNM",0,0
"AHD7253",2018,"CAL","M",0,1,"CAL",0,0
"AHD7253",2019,"CAL","M",0,1,"CAL",0,1
"AHD7253",2020,"CAL","M",0,1,"CAL",0,1
"AHD7253",2021,"CAL","M",0,1,"CAL",0,1
"AHD7253",2022,"CAL","M",0,0,"CAL",0,1
"AHD7298",2018,"BLG","M",0,0,"BLG",0,0
"AHD7299",2018,"BLG","F",0,1,"BLG",0,0
"AHD7299",2019,"BLG","F",0,1,"BLG",0,1
