"year","site","boxes","nests","prop_occ","mean_occ","rel_occ","suc_total","suc_av","suc_mean","rel_suc"
2014,"ALN",6,2,0.333333333333333,0.522727272727273,-0.189393939393939,17,2.83333333333333,2.56439393939394,0.268939393939394
2015,"ALN",6,4,0.666666666666667,0.522727272727273,0.143939393939394,16,2.66666666666667,2.56439393939394,0.102272727272727
2016,"ALN",6,3,0.5,0.522727272727273,-0.0227272727272727,17,2.83333333333333,2.56439393939394,0.268939393939394
2017,"ALN",8,3,0.375,0.522727272727273,-0.147727272727273,8,1,2.56439393939394,-1.56439393939394
2018,"ALN",8,5,0.625,0.522727272727273,0.102272727272727,23,2.875,2.56439393939394,0.310606060606061
2019,"ALN",8,4,0.5,0.522727272727273,-0.0227272727272727,27,3.375,2.56439393939394,0.810606060606061
2020,"ALN",8,6,0.75,0.522727272727273,0.227272727272727,24,3,2.56439393939394,0.435606060606061
2021,"ALN",8,7,0.875,0.522727272727273,0.352272727272727,30,3.75,2.56439393939394,1.18560606060606
2022,"ALN",8,2,0.25,0.522727272727273,-0.272727272727273,10,1.25,2.56439393939394,-1.31439393939394
2023,"ALN",8,4,0.5,0.522727272727273,-0.0227272727272727,27,3.375,2.56439393939394,0.810606060606061
2024,"ALN",8,3,0.375,0.522727272727273,-0.147727272727273,10,1.25,2.56439393939394,-1.31439393939394
2016,"ART",6,4,0.666666666666667,0.75462962962963,-0.087962962962963,20,3.33333333333333,4.9537037037037,-1.62037037037037
2017,"ART",8,6,0.75,0.75462962962963,-0.00462962962962965,40,5,4.9537037037037,0.0462962962962958
2018,"ART",8,6,0.75,0.75462962962963,-0.00462962962962965,51,6.375,4.9537037037037,1.4212962962963
2019,"ART",8,7,0.875,0.75462962962963,0.12037037037037,68,8.5,4.9537037037037,3.5462962962963
2020,"ART",8,5,0.625,0.75462962962963,-0.12962962962963,22,2.75,4.9537037037037,-2.2037037037037
2021,"ART",8,7,0.875,0.75462962962963,0.12037037037037,42,5.25,4.9537037037037,0.296296296296296
2022,"ART",8,6,0.75,0.75462962962963,-0.00462962962962965,48,6,4.9537037037037,1.0462962962963
2023,"ART",8,8,1,0.75462962962963,0.24537037037037,52,6.5,4.9537037037037,1.5462962962963
2024,"ART",8,4,0.5,0.75462962962963,-0.25462962962963,7,0.875,4.9537037037037,-4.0787037037037
2014,"AVI",6,1,0.166666666666667,0.492424242424242,-0.325757575757576,8,1.33333333333333,3.06818181818182,-1.73484848484849
2015,"AVI",6,4,0.666666666666667,0.492424242424242,0.174242424242424,25,4.16666666666667,3.06818181818182,1.09848484848485
2016,"AVI",6,2,0.333333333333333,0.492424242424242,-0.159090909090909,15,2.5,3.06818181818182,-0.568181818181818
2017,"AVI",8,3,0.375,0.492424242424242,-0.117424242424242,24,3,3.06818181818182,-0.0681818181818183
2018,"AVI",8,4,0.5,0.492424242424242,0.00757575757575757,33,4.125,3.06818181818182,1.05681818181818
2019,"AVI",8,5,0.625,0.492424242424242,0.132575757575758,41,5.125,3.06818181818182,2.05681818181818
2020,"AVI",8,4,0.5,0.492424242424242,0.00757575757575757,15,1.875,3.06818181818182,-1.19318181818182
2021,"AVI",8,5,0.625,0.492424242424242,0.132575757575758,20,2.5,3.06818181818182,-0.568181818181818
