"ring","sex","year","site","site_recode","Difsite","survival","capture","Lrecapture","time_SLC","time_SFC","age_class","age_est","age_est_4eq5","age_cat","prop_occ","mean_occ","rel_occ","suc_av","suc_mean","rel_suc","mean_temp","mean_mean_temp","rel_mean_temp","total_precip","mean_total_precip","rel_total_precip"
"AHD7001","F",2018,"ART","ART",0,0,1,0,0,0,5,1,1,"Y",0.75,0.75462962962963,-0.00462962962962965,6.375,4.9537037037037,1.4212962962963,2.23760330578512,1.65529205053516,0.582311255249966,245.31,290.01875,-44.70875
"AHD7002","M",2018,"ART","ART",0,0,1,0,0,0,5,1,1,"Y",0.75,0.75462962962963,-0.00462962962962965,6.375,4.9537037037037,1.4212962962963,2.23760330578512,1.65529205053516,0.582311255249966,245.31,290.01875,-44.70875
"AHD7003","M",2018,"ART","ART",0,0,1,0,0,0,6,-999,-999,"O",0.75,0.75462962962963,-0.00462962962962965,6.375,4.9537037037037,1.4212962962963,2.23760330578512,1.65529205053516,0.582311255249966,245.31,290.01875,-44.70875
"AHD7016","F",2018,"TAI","TAI",0,0,1,0,0,0,5,1,1,"Y",0.833333333333333,0.757575757575758,0.0757575757575758,5,3.01515151515152,1.98484848484848,0.605537190082645,0.250288578783363,0.355248611299282,206.12,300.299,-94.179
"AHD7028","F",2018,"DEL","DEL",0,0,1,0,0,0,6,-999,-999,"O",0.75,0.753787878787879,-0.00378787878787878,5.375,4.3030303030303,1.0719696969697,2.40809917355372,1.93416474732421,0.473934426229508,189.75,249.884,-60.134
"AHD7029","F",2018,"DEL","DEL",0,0,1,0,0,0,6,-999,-999,"O",0.75,0.753787878787879,-0.00378787878787878,5.375,4.3030303030303,1.0719696969697,2.40809917355372,1.93416474732421,0.473934426229508,189.75,249.884,-60.134
"AHD7030","M",2018,"DEL","DEL",0,1,1,0,0,0,5,1,1,"Y",0.75,0.753787878787879,-0.00378787878787878,5.375,4.3030303030303,1.0719696969697,2.40809917355372,1.93416474732421,0.473934426229508,189.75,249.884,-60.134
"AHD7030","M",2019,"DEL","DEL",0,1,1,0,1,1,6,2,2,"O",0.875,0.753787878787879,0.121212121212121,6.625,4.3030303030303,2.3219696969697,2.43106557377049,1.93416474732421,0.496900826446281,279.16,249.884,29.276
"AHD7030","M",2020,"DEL","DEL",0,0,1,0,1,2,6,3,3,"O",0.625,0.753787878787879,-0.128787878787879,3.5,4.3030303030303,-0.803030303030303,1.66132231404959,1.93416474732421,-0.272842433274624,273.39,249.884,23.506
"AHD7038","M",2018,"FSH","FSH",0,0,1,0,0,0,6,-999,-999,"O",0.5,0.670454545454545,-0.170454545454545,3.5,3.09848484848485,0.401515151515151,-0.0874380165289256,-0.668384026554667,0.580946010025742,267.45,335.096,-67.646
"AHD7056","F",2018,"STY","STY",0,1,1,0,0,0,5,1,1,"Y",0.75,0.723484848484849,0.0265151515151515,6.5,4.66666666666667,1.83333333333333,0.971404958677686,0.835176737569435,0.136228221108251,207.46,331.33,-123.87
"AHD7056","F",2019,"STY","STY",0,1,1,0,1,1,6,2,2,"O",0.625,0.723484848484849,-0.0984848484848485,5.625,4.66666666666667,0.958333333333333,1.46155737704918,0.835176737569435,0.626380639479745,343.86,331.33,12.53
"AHD7056","F",2020,"STY","STY",NA,1,0,NA,1,2,-999,3,3,"O",0.75,0.723484848484849,0.0265151515151515,5.75,4.66666666666667,1.08333333333333,0.489504132231405,0.835176737569435,-0.34567260533803,380.49,331.33,49.16
"AHD7056","F",2021,"STY","STY",0,1,1,1,2,3,6,4,4,"O",0.625,0.723484848484849,-0.0984848484848485,5.125,4.66666666666667,0.458333333333333,1.37132231404959,0.835176737569435,0.536145576480152,258.49,331.33,-72.84
"AHD7056","F",2022,"STY","STY",0,0,1,0,1,4,6,5,5,"O",0.75,0.723484848484849,0.0265151515151515,2.875,4.66666666666667,-1.79166666666667,0.514214876033058,0.835176737569435,-0.320961861536377,308.71,331.33,-22.62
"AHD7068","M",2018,"DOW","DOW",0,1,1,0,0,0,5,1,1,"Y",0.875,0.78125,0.09375,5.875,4.046875,1.828125,1.10520661157025,0.81941606828343,0.285790543286818,251.29,427.297142857143,-176.007142857143
"AHD7068","M",2019,"DOW","DOW",0,1,1,0,1,1,6,2,2,"O",0.75,0.78125,-0.03125,5.5,4.046875,1.453125,1.52598360655738,0.81941606828343,0.706567538273947,555.75,427.297142857143,128.452857142857
"AHD7068","M",2020,"DOW","DOW",0,1,1,0,1,2,6,3,3,"O",0.875,0.78125,0.09375,5.125,4.046875,1.078125,0.525702479338843,0.81941606828343,-0.293713588944587,502.53,427.297142857143,75.2328571428571
"AHD7068","M",2021,"DOW","DOW",0,1,1,0,1,3,6,4,4,"O",0.875,0.78125,0.09375,5.375,4.046875,1.328125,1.33314049586777,0.81941606828343,0.513724427584338,326.26,427.297142857143,-101.037142857143
"AHD7068","M",2022,"DOW","DOW",0,1,1,0,1,4,6,5,5,"O",0.75,0.78125,-0.03125,4.5,4.046875,0.453125,0.519256198347107,0.81941606828343,-0.300159869936323,438.37,427.297142857143,11.0728571428571
"AHD7068","M",2023,"DOW","DOW",0,0,1,0,1,5,6,6,6,"O",1,0.78125,0.21875,4.75,4.046875,0.703125,1.37860655737705,0.81941606828343,0.559190489093619,532.72,427.297142857143,105.422857142857
"AHD7069","F",2018,"DOW","DOW",0,1,1,0,0,0,5,1,1,"Y",0.875,0.78125,0.09375,5.875,4.046875,1.828125,1.10520661157025,0.81941606828343,0.285790543286818,251.29,427.297142857143,-176.007142857143
"AHD7069","F",2019,"DOW","DOW",0,1,1,0,1,1,6,2,2,"O",0.75,0.78125,-0.03125,5.5,4.046875,1.453125,1.52598360655738,0.81941606828343,0.706567538273947,555.75,427.297142857143,128.452857142857
"AHD7069","F",2020,"DOW","DOW",0,1,1,0,1,2,6,3,3,"O",0.875,0.78125,0.09375,5.125,4.046875,1.078125,0.525702479338843,0.81941606828343,-0.293713588944587,502.53,427.297142857143,75.2328571428571
"AHD7069","F",2021,"DOW","DOW",0,1,1,0,1,3,6,4,4,"O",0.875,0.78125,0.09375,5.375,4.046875,1.328125,1.33314049586777,0.81941606828343,0.513724427584338,326.26,427.297142857143,-101.037142857143
"AHD7069","F",2022,"DOW","DOW",0,0,1,0,1,4,6,5,5,"O",0.75,0.78125,-0.03125,4.5,4.046875,0.453125,0.519256198347107,0.81941606828343,-0.300159869936323,438.37,427.297142857143,11.0728571428571
"AHD7084","F",2018,"HWP","HWP",0,0,1,0,0,0,5,1,1,"Y",0.5,0.453125,0.046875,3.125,2.546875,0.578125,-0.0273553719008265,-0.664316488280721,0.636961116379894,282.55,323.751428571429,-41.2014285714286
"AHD7085","F",2018,"AVI","AVI",0,1,1,0,0,0,6,-999,-999,"O",0.5,0.492424242424242,0.00757575757575757,4.125,3.06818181818182,1.05681818181818,0.417851239669422,-0.325023574041458,0.742874813710879,337.53,413.7,-76.17
"AHD7085","F",2019,"AVI","AVI",0,1,1,0,1,1,6,-999,-999,"O",0.625,0.492424242424242,0.132575757575758,5.125,3.06818181818182,2.05681818181818,0.385901639344262,-0.325023574041458,0.71092521338572,579.86,413.7,166.16
"AHD7085","F",2020,"AVI","AVI",0,0,1,0,1,2,6,-999,-999,"O",0.5,0.492424242424242,0.00757575757575757,1.875,3.06818181818182,-1.19318181818182,-0.591652892561984,-0.325023574041458,-0.266629318520526,452.39,413.7,38.69
"AHD7086","M",2018,"AVI","AVI",0,1,1,0,0,0,6,-999,-999,"O",0.5,0.492424242424242,0.00757575757575757,4.125,3.06818181818182,1.05681818181818,0.417851239669422,-0.325023574041458,0.742874813710879,337.53,413.7,-76.17
"AHD7086","M",2019,"AVI","AVI",0,0,1,0,1,1,6,-999,-999,"O",0.625,0.492424242424242,0.132575757575758,5.125,3.06818181818182,2.05681818181818,0.385901639344262,-0.325023574041458,0.71092521338572,579.86,413.7,166.16
"AHD7094","F",2018,"ART","ART",0,0,1,0,0,0,6,-999,-999,"O",0.75,0.75462962962963,-0.00462962962962965,6.375,4.9537037037037,1.4212962962963,2.23760330578512,1.65529205053516,0.582311255249966,245.31,290.01875,-44.70875
"AHD7098","M",2018,"CAR","CAR",0,0,1,0,0,0,5,1,1,"Y",0.333333333333333,0.515151515151515,-0.181818181818182,1.33333333333333,1.60606060606061,-0.272727272727273,0.146942148760331,-0.471543761007994,0.618485909768324,268.53,298.009,-29.479
"AHD7099","F",2018,"CAR","CAR",0,1,1,0,0,0,6,-999,-999,"O",0.333333333333333,0.515151515151515,-0.181818181818182,1.33333333333333,1.60606060606061,-0.272727272727273,0.146942148760331,-0.471543761007994,0.618485909768324,268.53,298.009,-29.479
"AHD7099","F",2019,"CAR","CAR",NA,1,0,NA,1,1,-999,-999,-999,"O",0.5,0.515151515151515,-0.0151515151515151,1.5,1.60606060606061,-0.106060606060606,0.200819672131148,-0.471543761007994,0.672363433139141,370.25,298.009,72.241
"AHD7099","F",2020,"CAR","CAR",0,0,1,1,2,2,6,-999,-999,"O",0.666666666666667,0.515151515151515,0.151515151515151,1.5,1.60606060606061,-0.106060606060606,-0.789173553719008,-0.471543761007994,-0.317629792711015,322.29,298.009,24.281
"AHD7103","M",2018,"HWP","HWP",0,0,1,0,0,0,4,-999,1,"Y",0.5,0.453125,0.046875,3.125,2.546875,0.578125,-0.0273553719008265,-0.664316488280721,0.636961116379894,282.55,323.751428571429,-41.2014285714286
"AHD7120","F",2018,"AVN","AVN",0,0,1,0,0,0,5,1,1,"Y",0.75,0.845833333333333,-0.0958333333333333,7,5.065,1.935,0.602396694214876,-0.126122852970841,0.728519547185717,342,411.834444444444,-69.8344444444444
"AHD7121","F",2018,"ART","ART",0,0,1,0,0,0,5,1,1,"Y",0.75,0.75462962962963,-0.00462962962962965,6.375,4.9537037037037,1.4212962962963,2.23760330578512,1.65529205053516,0.582311255249966,245.31,290.01875,-44.70875
"AHD7122","M",2018,"ART","ART",0,0,1,0,0,0,6,-999,-999,"O",0.75,0.75462962962963,-0.00462962962962965,6.375,4.9537037037037,1.4212962962963,2.23760330578512,1.65529205053516,0.582311255249966,245.31,290.01875,-44.70875
"AHD7131","F",2018,"ART","ART",0,0,1,0,0,0,6,-999,-999,"O",0.75,0.75462962962963,-0.00462962962962965,6.375,4.9537037037037,1.4212962962963,2.23760330578512,1.65529205053516,0.582311255249966,245.31,290.01875,-44.70875
"AHD7132","M",2018,"ART","ART",0,0,1,0,0,0,6,-999,-999,"O",0.75,0.75462962962963,-0.00462962962962965,6.375,4.9537037037037,1.4212962962963,2.23760330578512,1.65529205053516,0.582311255249966,245.31,290.01875,-44.70875
"AHD7134","F",2018,"MUN","MUN",0,0,1,0,0,0,6,-999,-999,"O",0.625,0.609848484848485,0.0151515151515151,3.5,2.58712121212121,0.912878787878788,2.28421487603306,1.73552797723886,0.548686898794202,243.53,300.844,-57.314
"AHD7135","M",2018,"MUN","MUN",0,1,1,0,0,0,6,-999,-999,"O",0.625,0.609848484848485,0.0151515151515151,3.5,2.58712121212121,0.912878787878788,2.28421487603306,1.73552797723886,0.548686898794202,243.53,300.844,-57.314
"AHD7135","M",2019,"MUN","MUN",0,0,1,0,1,1,6,-999,-999,"O",0.625,0.609848484848485,0.0151515151515151,3,2.58712121212121,0.412878787878788,2.25532786885246,1.73552797723886,0.519799891613603,383.33,300.844,82.486
"AHD7165","M",2018,"FSH","FSH",0,0,1,0,0,0,6,-999,-999,"O",0.5,0.670454545454545,-0.170454545454545,3.5,3.09848484848485,0.401515151515151,-0.0874380165289256,-0.668384026554667,0.580946010025742,267.45,335.096,-67.646
"AHD7166","F",2018,"FSH","FSH",0,0,1,0,0,0,6,-999,-999,"O",0.5,0.670454545454545,-0.170454545454545,3.5,3.09848484848485,0.401515151515151,-0.0874380165289256,-0.668384026554667,0.580946010025742,267.45,335.096,-67.646
"AHD7180","M",2018,"DEL","DEL",0,0,1,0,0,0,5,1,1,"Y",0.75,0.753787878787879,-0.00378787878787878,5.375,4.3030303030303,1.0719696969697,2.40809917355372,1.93416474732421,0.473934426229508,189.75,249.884,-60.134
"AHD7181","F",2018,"DEL","DEL",0,0,1,0,0,0,6,-999,-999,"O",0.75,0.753787878787879,-0.00378787878787878,5.375,4.3030303030303,1.0719696969697,2.40809917355372,1.93416474732421,0.473934426229508,189.75,249.884,-60.134
"AHD7246","M",2018,"MCH","MCH",0,0,1,0,0,0,5,1,1,"Y",0.5,0.663636363636364,-0.163636363636364,4.16666666666667,4.13333333333333,0.0333333333333332,1.16446280991736,1.03736587183308,0.12709693808427,211.65,342.901,-131.251
"AHD7247","F",2018,"MCH","MCH",0,0,1,0,0,0,5,1,1,"Y",0.5,0.663636363636364,-0.163636363636364,4.16666666666667,4.13333333333333,0.0333333333333332,1.16446280991736,1.03736587183308,0.12709693808427,211.65,342.901,-131.251
"AHD7248","M",2018,"MCH","MCH",0,1,1,0,0,0,5,1,1,"Y",0.5,0.663636363636364,-0.163636363636364,4.16666666666667,4.13333333333333,0.0333333333333332,1.16446280991736,1.03736587183308,0.12709693808427,211.65,342.901,-131.251
"AHD7248","M",2019,"MCH","MCH",0,0,1,0,1,1,6,2,2,"O",0.833333333333333,0.663636363636364,0.16969696969697,5.66666666666667,4.13333333333333,1.53333333333333,1.69852459016393,1.03736587183308,0.66115871833085,390.63,342.901,47.729
"AHD7249","M",2018,"PTH","PTH",0,1,1,0,0,0,6,-999,-999,"O",0.875,0.833333333333333,0.0416666666666666,6.375,5.52651515151515,0.848484848484849,1.2900826446281,1.15592148760331,0.134161157024794,201.54,312.002,-110.462
"AHD7249","M",2019,"PTH","PTH",0,1,1,0,1,1,6,-999,-999,"O",1,0.833333333333333,0.166666666666667,9.375,5.52651515151515,3.84848484848485,1.78131147540984,1.15592148760331,0.62538998780653,351.41,312.002,39.408
"AHD7249","M",2020,"PTH","PTH",0,0,1,0,1,2,6,-999,-999,"O",1,0.833333333333333,0.166666666666667,7.375,5.52651515151515,1.84848484848485,0.834380165289256,1.15592148760331,-0.32154132231405,345.31,312.002,33.308
"AHD7250","F",2018,"PTH","PTH",0,0,1,0,0,0,6,-999,-999,"O",0.875,0.833333333333333,0.0416666666666666,6.375,5.52651515151515,0.848484848484849,1.2900826446281,1.15592148760331,0.134161157024794,201.54,312.002,-110.462
"AHD7251","M",2018,"BIR","BIR",0,0,1,0,0,0,5,1,1,"Y",0.5,0.526515151515151,-0.0265151515151515,3.125,3.06060606060606,0.0643939393939394,0.925454545454545,0.714452919658583,0.211001625795963,237.12,377.596,-140.476
"AHD7252","M",2018,"DNM","DNM",0,0,1,0,0,0,6,-999,-999,"O",0.5,0.46969696969697,0.0303030303030303,2.25,2.03787878787879,0.212121212121212,-0.147438016528926,-0.671809714130877,0.524371697601951,312.03,477.932,-165.902
"AHD7253","M",2018,"CAL","CAL",0,1,1,0,0,0,6,-999,-999,"O",0.25,0.348484848484849,-0.0984848484848485,2.125,2.21590909090909,-0.0909090909090908,-0.121652892561983,-0.593030822381791,0.471377929819808,298.86,450.59,-151.73
"AHD7253","M",2019,"CAL","CAL",0,1,1,0,1,1,6,-999,-999,"O",0.5,0.348484848484849,0.151515151515151,4.375,2.21590909090909,2.15909090909091,-0.070327868852459,-0.593030822381791,0.522702953529332,657.05,450.59,206.46
"AHD7253","M",2020,"CAL","CAL",0,1,1,0,1,2,6,-999,-999,"O",0.375,0.348484848484849,0.0265151515151515,2.25,2.21590909090909,0.0340909090909092,-0.966942148760331,-0.593030822381791,-0.37391132637854,453.71,450.59,3.12
"AHD7253","M",2021,"CAL","CAL",0,1,1,0,1,3,6,-999,-999,"O",0.375,0.348484848484849,0.0265151515151515,1.5,2.21590909090909,-0.715909090909091,-0.113553719008264,-0.593030822381791,0.479477103373527,398.52,450.59,-52.07
"AHD7253","M",2022,"CAL","CAL",0,0,1,0,1,4,6,-999,-999,"O",0.375,0.348484848484849,0.0265151515151515,2.375,2.21590909090909,0.159090909090909,-0.908429752066116,-0.593030822381791,-0.315398929684325,381.52,450.59,-69.07
