"site"	"year"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"EDI"	"2013"	"5.78349257395288"	"4.7393727201528"	"5.9352088681962"	"6.73727838543517"	"5.82945865459631"	"4.50402707962257"	"4.19569787015846"	"4.93516965324648"	"5.29750166621193"	"5.91244216979602"	"5.91706443349743"	"8.54226191753045"
"RSY"	"2013"	"5.67915707785495"	"4.68213653504076"	"6.34911168599431"	"6.57700297116821"	"5.67190195508132"	"4.54856248635332"	"4.20465562461318"	"4.76807592941502"	"5.39895150176545"	"5.78254682127397"	"5.64465565344707"	"8.31836110843047"
"FOF"	"2013"	"6.43105497365994"	"5.36463059865339"	"6.9413386228119"	"7.27092727930038"	"6.3230698993354"	"4.9991918929996"	"4.65548464211953"	"5.33183717558973"	"6.00023263875112"	"6.54240933048675"	"6.41500428009205"	"9.40901365077188"
"BAD"	"2013"	"6.62462335772054"	"5.71142811790336"	"6.69270148183775"	"7.50490429006293"	"6.88670211101023"	"5.24693382123253"	"5.02542768710493"	"5.77855410925445"	"6.09870374502047"	"6.87776730462974"	"6.72182878960898"	"9.78725948342796"
"LVN"	"2013"	"5.20027820976104"	"4.38660991235399"	"5.37084739393201"	"6.0567178715314"	"5.63218429004002"	"4.31721550889825"	"4.14734417967867"	"4.59774208944924"	"4.84876800649004"	"5.28686105940146"	"5.14775361920282"	"7.67669385822229"
"DOW"	"2013"	"5.49203457765239"	"4.64894680744422"	"5.71317439527006"	"6.34077538757788"	"5.89331145768456"	"4.53704953996269"	"4.35221449679252"	"4.85552052743048"	"5.14927950704141"	"5.62342156722845"	"5.45062164831428"	"8.07014644695762"
"GLF"	"2013"	"4.52846652454496"	"3.85006842312356"	"4.37652678626793"	"5.21630619922773"	"5.06461522273191"	"3.80396079322467"	"3.67717402719945"	"4.21732519231149"	"4.20068230151787"	"4.60110985522419"	"4.60006705500114"	"6.49277776594718"
"SER"	"2013"	"3.1086670108038"	"2.64835037672721"	"3.36476844543969"	"3.82964834904585"	"3.74850395791691"	"2.92619138052565"	"2.85149481348553"	"3.18271034696585"	"3.13974543652064"	"3.14766412011819"	"3.00947037788347"	"4.3602026602788"
"MCH"	"2013"	"4.54483585705714"	"3.79380109252946"	"4.74421902269823"	"5.22192280554285"	"4.98539042023634"	"3.84145834230233"	"3.68750361018934"	"4.26284767709796"	"4.39097799159528"	"4.68794494398044"	"4.63688549883921"	"6.40425727682426"
"PTH"	"2013"	"2.7243080366083"	"2.42874132091856"	"2.89632738853608"	"3.41710038371478"	"3.5680948983076"	"2.70633570544156"	"2.68101072839517"	"3.00459488327032"	"2.81700185090235"	"2.81824071224986"	"2.50988273786437"	"3.67497898949248"
"STY"	"2013"	"2.79251995978159"	"2.52604570633779"	"2.85468443501591"	"3.40288540545376"	"3.71923433393743"	"2.72991323942236"	"2.70516316276895"	"3.05518408057423"	"2.79041199513124"	"2.89472256765128"	"2.47910559649822"	"3.67375707938599"
"BIR"	"2013"	"3.49287302898693"	"3.00960324411176"	"3.79470227031987"	"4.0397242912359"	"4.4175958415179"	"3.20009084612962"	"3.14543306786814"	"3.44494024438753"	"3.37687753525517"	"3.54810552035218"	"3.23103260134746"	"4.75870044804878"
